Paper_ID,Study_ID,Comparison_ID,Authors,N,Title,Year,DOI,SR_Source,Log_Source,medium,Source_Type,Population,SR_PROB_Label,Use_Form_Recorded,Use_Measurement_Produced,Logging_Duration,Correlation_rs,Correlation_r,sr_outcome_type,SR_Form,SR_Mean,SR_SD,Log_Mean,Log_SD,Measure_Type,Design,plot_digitised,Comment,use.cor.analysis,prob.cor.analysis,under.over.analysis,effect_ID,use_measurement,slab,yi,vi
P1,P1S1,C1,Ahn et al.,23,Data Collection and Analysis of Smartphone Use and Sleep of Secondary School Children,2017,https://doi.org/10.1109/BIGCOMP.2017.7881746,Question on smartphone use hour/day,SAMS Monitor,Phone,Published,adolescents,NA,screen time (in minutes),average daily use time,8 weeks,NA,0.23,USE,SINGLE,2.4,1.6,2.8,1,Duration,correlational,N,NA,Y,N,Y,P1S1C1,average daily use time,"Ahn et al., 2017 (n = 23)",-0.15415067982725822,0.020107463275165143
P2,P2S1,C3,Andrews et al.,23,Beyond self-report: Tools to compare estimated and real-world smartphone use,2015,10.1371/journal.pone.0139004,Estimated daily screen time,Custom App,Phone,Published,adults,NA,active phone events,average daily use time,14 days,NA,0.47,USE,SINGLE,4.12,1.91,5.05,2.73,Duration,correlational,N,NA,Y,N,Y,P2S1C3,average daily use time,"Andrews et al., 2015 (n = 23)",-0.20353507992583336,0.011807886993445461
P2,P2S1,C4,Andrews et al.,23,Beyond self-report: Tools to compare estimated and real-world smartphone use,2015,10.1371/journal.pone.0139004,Estimated daily pickups,Custom App,Phone,Published,adults,NA,active phone events,average daily pickups,14 days,NA,0.11,USE,SINGLE,37.2,24.84,84.68,55.23,Volume,correlational,N,NA,Y,N,Y,P2S1C4,average daily pickups,"Andrews et al., 2015 (n = 23)",-0.8225706849875636,0.033715527870935166
P3,P3S1,C1,Araujo et al.,690,How much time do you spend Online? Understanding and Improving the Accuracy of Self-Reported Measures of Internet Use,2017,http://dx.doi.org/10.1080/19312458.2017.1317337,Estimate of minutes of internet use on an average day,Proprietary Internet use tracking software,Internet,Published,adults,NA,minutes of active URLs,average daily use time,1 month,NA,0.291,USE,SINGLE,143.14,125.49,126.27,115.93,Duration,correlational,N,"Selected the measures for ""average day"" rather than for ""yesterday"".",Y,N,Y,P3S1C1,average daily use time,"Araujo et al., 2017 (n = 690)",0.12540070085986235,0.0016566209538764406
P4,P4S1,C1,Boase & Ling,426,Measuring Mobile Phone Use: Self-report versus log data,2013,10.1111/jcc4.12021,Estimated number of phone calls for previous day.,Telco log data,Phone,Published,general,NA,outgoing voice and SMS events,average daily calls,30 days,NA,0.55,USE,SINGLE,3.88,4.8,2.38,2.99,Volume,correlational,N,"Only included the 'yesterday' measures, but excluded the 'how often' measures: The first type of measure is continuous in nature and asked respondents to report the number of times that they used their mobile phone ‘‘yesterday’’ for outgoing voice calls and SMS messages. In one question they were asked: ‘‘How many times did you use a mobile phone yesterday to call others, either for work or privately.’’ In another question respondents were asked, ‘‘How many text messages did you send yesterday, either for work or privately?’’ We refer to these types of continuous self-report questions as ‘‘yesterday’’ measures. ... The second type of question is categorical in nature and required respondents to report on how often they use their mobile phones by choosing the most appropriate response from a set list. In one question they were asked, ‘‘How often do you use a mobile phone to call others (not texting or SMS)? More than 10 times a day, 5–10 times a day, 2–4 times a day, at least once a day, 3–6 times a week, 1–2 times a week, Less often, Never.’’ In another question they were asked, ‘‘How often do you use the mobile phone to send or receive text messages/SMS?’’ and were given the same set of categorical response options. We refer to these types of categorical self-report questions as ‘‘how often’’ measures. ..... I have only included the first ype of measure.",Y,N,Y,P4S1C1,average daily calls,"Boase & Ling, 2013 (n = 426)",0.4887346659517987,0.0032843615950497113
P4,P4S1,C2,Boase & Ling,426,Measuring Mobile Phone Use: Self-report versus log data,2013,10.1111/jcc4.12022,Estimated number of text messages for previous day.,Telco log data,Phone,Published,general,NA,outgoing voice and SMS events,average daily messages,30 days,NA,0.58,USE,SINGLE,6.19,13.98,3.95,8.81,Volume,correlational,N,"Only included the 'yesterday' measures, but excluded the 'how often' measures",Y,N,Y,P4S1C2,average daily messages,"Boase & Ling, 2013 (n = 426)",0.4492195077834743,0.009934501244467342
P6,P6S1,C1,Burnell et al.,1584,Unpublished data provided by author,Unpublished,NA,"Estimated daily smartphone social media use (FB, IG, TW, SC)",iOS Screen Time,Social Media,Unpublished,adults,NA,app usage duration,average daily use time,7 days,NA,0.39554,USE,SINGLE,149.5436,126.5374,73.1785,77.0683,Duration,correlational,N,"Burnell et al provided raw unpublished data: SR facebook, twitter, snapchat and Instagram use on a phone and logs for the same. To produce correlations I 1) summed all SR time for the 4 platforms, 2) summed all logged time for the 4 platforms and calculate the correlation between the two. Screenshot of code has been added to the PDF placeholder on page 2.",Y,N,Y,P6S1C1,average daily use time,"Burnell et al., Unpublished (n = 1584)",0.7146863271310766,7.071708376751463e-4
P7,P7S1,C1,Deng et al.,44,Measuring smartphone usage and task switching with log tracking and self-reports,2018,10.1177/2050157918761491,Estimate of time spent on app categories for relevant time periods,App Usage tracker,Phone,Published,adults,NA,All foreground applications,average daily duration,7 days,NA,0.681,USE,SINGLE,1838.2354,1077.65244,438.9827,283.73651,Duration,correlational,N,used data received directly from the authors (the correlations were missing from the paper),Y,N,Y,P7S1C1,average daily duration,"Deng et al., 2018 (n = 44)",1.4321013641545386,0.005576423988873381
P9,P9S1,C1,Ellis et al.,238,Do smartphone usage scales predict behavior?,2019,https://doi.org/10.1016/j.ijhcs.2019.05.004,Estimated daily screen time,iOS Screen Time,Phone,Published,general,NA,screen time (in minutes),average daily use time,6 days,NA,0.48,USE,SINGLE,226.6,128.37,232.66,119.44,Duration,correlational,N,Have excluded comparisons with notfications (as we decided),Y,N,Y,P9S1C1,average daily use time,"Ellis et al., 2019 (n = 238)",-0.026391811794714445,0.00128269577795623
P9,P9S1,C2,Ellis et al.,238,Do smartphone usage scales predict behavior?,2019,https://doi.org/10.1016/j.ijhcs.2019.05.007,Estimated daily pickups,iOS Screen Time,Phone,Published,general,NA,number of smartphone unlocks,average daily pickups,6 days,NA,0.23,USE,SINGLE,45.69,42.16,85.84,53.34,Volume,correlational,N,Have excluded comparisons with notfications (as we decided),Y,N,Y,P9S1C2,average daily pickups,"Ellis et al., 2019 (n = 238)",-0.6306056427472629,0.004091673913980609
