Paper_ID,Study_ID,Comparison_ID,Authors,N,Title,Year,DOI,SR_Source,Log_Source,Log_Collection_category,medium,Source_Type,Population_Type,Sampling_Category,SR_PROB_Label,Use_Form_Recorded,Use_Measurement_Produced,Logging_Duration,Correlation_rs,Correlation_r,sr_outcome_type,SR_Form,SR_Mean,SR_SD,Log_Mean,Log_SD,Measure_Type,Design,plot_digitised,Comment,use.cor.analysis,prob.cor.analysis,under.over.analysis,effect_ID,use_measurement,slab,yi,vi
P1,P1S1,C1,Ahn et al.,23,Data Collection and Analysis of Smartphone Use and Sleep of Secondary School Children,2017,https://doi.org/10.1109/BIGCOMP.2017.7881746,Question on smartphone use hour/day,SAMS Monitor,custom_built_for_research,Phone,Published,student,direct_tracking,NA,screen time (in minutes),average daily use time,8 weeks,NA,0.23,USE,SINGLE,2.4,1.6,2.8,1,Duration,correlational,N,Included usage correlations. Followed up re. problematic usage correlation with no success. No applicable plot to be digitised.,Y,N,Y,P1S1C1,average daily use time,"Ahn et al., 2017 (n = 23)",0.2341894667593668,0.05
P2,P2S1,C3,Andrews et al.,23,Beyond self-report: Tools to compare estimated and real-world smartphone use,2015,10.1371/journal.pone.0139004,Estimated daily screen time,Custom App,custom_built_for_research,Phone,Published,adults,direct_tracking,NA,active phone events,average daily use time,14 days,NA,0.47,USE,SINGLE,4.12,1.91,5.05,2.73,Duration,correlational,N,Missing data from paper supplied by the author,Y,N,Y,P2S1C3,average daily use time,"Andrews et al., 2015 (n = 23)",0.5100703366133071,0.05
P2,P2S1,C4,Andrews et al.,23,Beyond self-report: Tools to compare estimated and real-world smartphone use,2015,10.1371/journal.pone.0139004,Estimated daily pickups,Custom App,custom_built_for_research,Phone,Published,adults,direct_tracking,NA,active phone events,average daily pickups,14 days,NA,0.11,USE,SINGLE,37.2,24.84,84.68,55.23,Volume,correlational,N,Missing data from paper supplied by the author,Y,N,Y,P2S1C4,average daily pickups,"Andrews et al., 2015 (n = 23)",0.11044691579009722,0.05
P3,P3S1,C1,Araujo et al.,690,How much time do you spend Online? Understanding and Improving the Accuracy of Self-Reported Measures of Internet Use,2017,http://dx.doi.org/10.1080/19312458.2017.1317337,Estimate of minutes of internet use on an average day,Proprietary Internet use tracking software,third_party,Internet,Published,adults,direct_tracking,NA,minutes of active URLs,average daily use time,30 days,NA,0.291,USE,SINGLE,143.14,125.49,126.27,115.93,Duration,correlational,N,Included measure for 'average day',Y,N,Y,P3S1C1,average daily use time,"Araujo et al., 2017 (n = 690)",0.2996584321572574,0.001455604075691412
P4,P4S1,C1,Boase & Ling,426,Measuring Mobile Phone Use: Self-report versus log data,2013,10.1111/jcc4.12021,Estimated number of phone calls for previous day.,Telco log data,operator,Phone,Published,adults,supplied_data,NA,outgoing voice and SMS events,average daily calls,30 days,NA,0.55,USE,SINGLE,3.88,4.8,2.38,2.99,Volume,correlational,N,Included 'yesterday' measures,Y,N,Y,P4S1C1,average daily calls,"Boase & Ling, 2013 (n = 426)",0.6183813135744636,0.002364066193853428
P4,P4S1,C2,Boase & Ling,426,Measuring Mobile Phone Use: Self-report versus log data,2013,10.1111/jcc4.12022,Estimated number of text messages for previous day.,Telco log data,operator,Phone,Published,adults,supplied_data,NA,outgoing voice and SMS events,average daily messages,30 days,NA,0.58,USE,SINGLE,6.19,13.98,3.95,8.81,Volume,correlational,N,Included 'yesterday' measures,Y,N,Y,P4S1C2,average daily messages,"Boase & Ling, 2013 (n = 426)",0.6624627073717992,0.002364066193853428
P5,P5S1,C1,Burke et al.,155,Social Network Activity and Social Well-being,2010,10.1145/1753326.1753613,Usage question from the Facebook Intensity Scale,Facebook server logs,operator,Social Media,Published,adults,supplied_data,NA,Site use duration,average daily use time,60 days,NA,0.45,USE,SINGLE,NA,NA,NA,NA,Duration,correlational,N,They report use seprately from the attitude questions in the scale so we can include it. Answer is not continuous so won't include in under/over,Y,N,N,P5S1C1,average daily use time,"Burke et al., 2010 (n = 155)",0.48470027859405174,0.006578947368421052
P6,P6S1,C1,Burnell et al.,1584,Unpublished data provided by author,Unpublished,NA,"Estimated daily smartphone social media use (FB, IG, TW, SC)",iOS Screen Time,built_in,Social Media,Unpublished,student,data_donation,NA,app usage duration,average daily use time,7 days,NA,0.39554,USE,SINGLE,149.5436,126.5374,73.1785,77.0683,Duration,correlational,N,"Burnell et al provided raw unpublished data: SR facebook, twitter, snapchat and Instagram use on a phone and logs for the same. To produce correlations we 1) summed all SR time for the 4 platforms, 2) summed all logged time for the 4 platforms and calculated the correlation between the two.",Y,N,Y,P6S1C1,average daily use time,"Burnell et al., Unpublished (n = 1584)",0.41835060932514634,6.325110689437065e-4
P7,P7S1,C1,Deng et al.,44,Measuring smartphone usage and task switching with log tracking and self-reports,2018,10.1177/2050157918761491,Estimate of time spent on app categories for relevant time periods,App Usage tracker,third_party,Phone,Published,adults,direct_tracking,NA,All foreground applications,average daily duration,7 days,NA,0.681,USE,SINGLE,1838.2354,1077.65244,438.9827,283.73651,Duration,correlational,N,used data received directly from the authors (the correlations were missing from the paper),Y,N,Y,P7S1C1,average daily duration,"Deng et al., 2018 (n = 44)",0.8309765153118855,0.024390243902439025
P9,P9S1,C1,Ellis et al.,238,Do smartphone usage scales predict behavior?,2019,https://doi.org/10.1016/j.ijhcs.2019.05.004,Estimated daily screen time,iOS Screen Time,built_in,Phone,Published,adults,data_donation,NA,screen time (in minutes),average daily use time,6 days,NA,0.48,USE,SINGLE,226.6,128.37,232.66,119.44,Duration,correlational,N,Have excluded comparisons with notfications,Y,N,Y,P9S1C1,average daily use time,"Ellis et al., 2019 (n = 238)",0.5229842775913438,0.00425531914893617
