"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TM4SADS6","journalArticle","2016","Scharkow, Michael","The Accuracy of Self-Reported Internet Use—A Validation Study Using Client Log Data","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2015.1118446","http://www.tandfonline.com/doi/full/10.1080/19312458.2015.1118446","","2016-01-02","2020-06-05 07:53:58","2020-06-05 07:53:58","2020-06-05 07:53:58","13-27","","1","10","","Communication Methods and Measures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GU7LQSFL","journalArticle","2016","Moehler, Devra; Allen, Douglas Michael","The Media Diet Imbalance Score: A Measure of Aggregate Media Diet","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2015.1118445","http://www.tandfonline.com/doi/full/10.1080/19312458.2015.1118445","","2016-01-02","2020-06-05 07:54:02","2020-06-05 07:54:02","2020-06-05 07:54:02","4-12","","1","10","","Communication Methods and Measures","The Media Diet Imbalance Score","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NGNQ7A2C","journalArticle","2016","Leiner, Dominik J.; Scherr, Sebastian; Bartsch, Anne","Using Open-Source Tools to Measure Online Selective Exposure in Naturalistic Settings","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2016.1224825","https://www.tandfonline.com/doi/full/10.1080/19312458.2016.1224825","","2016-10","2020-06-05 07:54:06","2020-06-05 07:54:06","2020-06-05 07:54:06","199-216","","4","10","","Communication Methods and Measures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6CZKEN6Q","journalArticle","2017","Seger, Jeff; Potts, Richard","Construct Validity of Adults’ Retrospective Memory for Childhood TV Viewing: Self-Reported Early Exposure to Violent TV Programs Predicts Current Aggression","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2016.1271114","https://www.tandfonline.com/doi/full/10.1080/19312458.2016.1271114","","2017-01-02","2020-06-05 12:12:27","2020-06-05 12:12:27","2020-06-05 12:12:27","31-48","","1","11","","Communication Methods and Measures","Construct Validity of Adults’ Retrospective Memory for Childhood TV Viewing","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NTY5FBGN","journalArticle","2016","Vraga, Emily; Bode, Leticia; Troller-Renfree, Sonya","Beyond Self-Reports: Using Eye Tracking to Measure Topic and Style Differences in Attention to Social Media Content","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2016.1150443","http://www.tandfonline.com/doi/full/10.1080/19312458.2016.1150443","","2016-04-02","2020-06-05 12:12:25","2020-06-05 12:12:25","2020-06-05 12:12:25","149-164","","2-3","10","","Communication Methods and Measures","Beyond Self-Reports","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BXSM5C3W","journalArticle","2016","Niederdeppe, Jeff","Meeting the Challenge of Measuring Communication Exposure in the Digital Age","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2016.1150970","http://www.tandfonline.com/doi/full/10.1080/19312458.2016.1150970","","2016-04-02","2020-06-11 21:54:33","2020-06-11 21:54:33","2020-06-11 21:54:33","170-172","","2-3","10","","Communication Methods and Measures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y3NBK6X4","journalArticle","2016","de Vreese, Claes H.; Neijens, Peter","Measuring Media Exposure in a Changing Communications Environment","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2016.1150441","http://www.tandfonline.com/doi/full/10.1080/19312458.2016.1150441","","2016-04-02","2020-06-11 21:54:32","2020-06-11 21:54:32","2020-06-11 21:54:32","69-80","","2-3","10","","Communication Methods and Measures","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6YAN8E2C","journalArticle","2017","Den Hamer, A. H.; Konijn, E. A.; Bushman, B. J.","Measuring Exposure to Media with Antisocial and Prosocial Content: An Extended Version of the Content-based Media Exposure Scale (C-ME2)","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2017.1375089","https://www.tandfonline.com/doi/full/10.1080/19312458.2017.1375089","","2017-10-02","2020-06-11 21:54:28","2020-06-11 21:54:28","2020-06-11 21:54:28","289-299","","4","11","","Communication Methods and Measures","Measuring Exposure to Media with Antisocial and Prosocial Content","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STPHQIW4","journalArticle","2016","Jerit, Jennifer; Barabas, Jason; Pollock, William; Banducci, Susan; Stevens, Daniel; Schoonvelde, Martijn","Manipulated vs. Measured: Using an Experimental Benchmark to Investigate the Performance of Self-Reported Media Exposure","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2016.1150444","http://www.tandfonline.com/doi/full/10.1080/19312458.2016.1150444","","2016-04-02","2020-06-11 21:54:10","2020-06-11 21:54:10","2020-06-11 21:54:10","99-114","","2-3","10","","Communication Methods and Measures","Manipulated vs. Measured","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EVI7NTLT","journalArticle","2017","De Vreese, Claes H.; Boukes, Mark; Schuck, Andreas; Vliegenthart, Rens; Bos, Linda; Lelkes, Yph","Linking Survey and Media Content Data: Opportunities, Considerations, and Pitfalls","Communication Methods and Measures","","1931-2458, 1931-2466","10.1080/19312458.2017.1380175","https://www.tandfonline.com/doi/full/10.1080/19312458.2017.1380175","","2017-10-02","2020-06-11 21:54:08","2020-06-11 21:54:08","2020-06-11 21:54:08","221-244","","4","11","","Communication Methods and Measures","Linking Survey and Media Content Data","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
