"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"26CUL7MH","journalArticle","2009","Yen, Ju-Yu; Yen, Cheng-Fang; Chen, Cheng-Sheng; Tang, Tze-Chun; Ko, Chih-Hung","The Association between Adult ADHD Symptoms and Internet Addiction among College Students: The Gender Difference","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2008.0113","http://www.liebertpub.com/doi/10.1089/cpb.2008.0113","","2009-04","2020-06-05 07:56:24","2020-06-05 07:56:24","2020-06-05 07:56:24","187-191","","2","12","","CyberPsychology & Behavior","The Association between Adult ADHD Symptoms and Internet Addiction among College Students","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4GI5QLY","journalArticle","2008","Ko, Chih-Hung; Yen, Ju-Yu; Yen, Cheng-Fang; Chen, Chung-Sheng; Wang, Shing-Yaw","The Association between Internet Addiction and Belief of Frustration Intolerance: The Gender Difference","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2007.0095","http://www.liebertpub.com/doi/10.1089/cpb.2007.0095","","2008-06","2020-06-05 07:56:26","2020-06-05 07:56:26","2020-06-05 07:56:26","273-278","","3","11","","CyberPsychology & Behavior","The Association between Internet Addiction and Belief of Frustration Intolerance","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NLIAWSW","journalArticle","2008","Ko, Chih–Hung; Yen, Ju-Yu; Yen, Cheng–Fang; Chen, Cheng–Sheng; Weng, Chih–Chi; Chen, Cheng–Chung","The Association between Internet Addiction and Problematic Alcohol Use in Adolescents: The Problem Behavior Model","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2007.0199","http://www.liebertpub.com/doi/10.1089/cpb.2007.0199","","2008-10","2020-06-05 07:56:31","2020-06-05 07:56:31","2020-06-05 07:56:31","571-576","","5","11","","CyberPsychology & Behavior","The Association between Internet Addiction and Problematic Alcohol Use in Adolescents","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2NV9NAVA","journalArticle","2009","Meerkerk, G.-J.; Van Den Eijnden, R. J. J. M.; Vermulst, A. A.; Garretsen, H. F. L.","The Compulsive Internet Use Scale (CIUS): Some Psychometric Properties","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2008.0181","http://www.liebertpub.com/doi/10.1089/cpb.2008.0181","","2009-02","2020-06-05 07:56:34","2020-06-05 07:56:34","2020-06-05 07:56:34","1-6","","1","12","","CyberPsychology & Behavior","The Compulsive Internet Use Scale (CIUS)","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/Z2LZICZK/Meerkerk et al_2009_The Compulsive Internet Use Scale (CIUS).pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LENLX437","journalArticle","2009","Longman, Huon; O'Connor, Erin; Obst, Patricia","The Effect of Social Support Derived from World of Warcraft on Negative Psychological Symptoms","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2009.0001","http://www.liebertpub.com/doi/10.1089/cpb.2009.0001","","2009-10","2020-06-05 07:56:43","2020-06-05 07:56:43","2020-06-05 07:56:43","563-566","","5","12","","CyberPsychology & Behavior","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/GM2CXRJU/Longman et al_2009_The Effect of Social Support Derived from World of Warcraft on Negative.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X8IN6HTP","journalArticle","2009","Orr, Emily S.; Sisic, Mia; Ross, Craig; Simmering, Mary G.; Arseneault, Jaime M.; Orr, R. Robert","The Influence of Shyness on the Use of Facebook in an Undergraduate Sample","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2008.0214","http://www.liebertpub.com/doi/10.1089/cpb.2008.0214","","2009-06","2020-06-05 07:57:08","2020-06-05 07:57:08","2020-06-05 07:57:08","337-340","","3","12","","CyberPsychology & Behavior","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/C9YVRSH8/Orr et al_2009_The Influence of Shyness on the Use of Facebook in an Undergraduate Sample.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CQCPI2K","journalArticle","2008","Sabina, Chiara; Wolak, Janis; Finkelhor, David","The Nature and Dynamics of Internet Pornography Exposure for Youth","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2007.0179","http://www.liebertpub.com/doi/10.1089/cpb.2007.0179","","2008-12","2020-06-05 07:57:15","2020-06-05 07:57:15","2020-06-05 07:57:15","691-693","","6","11","","CyberPsychology & Behavior","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/AXMYST3J/Sabina et al_2008_The Nature and Dynamics of Internet Pornography Exposure for Youth.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PP9NHY52","journalArticle","2008","Lin, Min-Pei; Ko, Huei-Chen; Wu, Jo Yung-Wei","The Role of Positive/Negative Outcome Expectancy and Refusal Self-Efficacy of Internet Use on Internet Addiction among College Students in Taiwan","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2007.0121","http://www.liebertpub.com/doi/10.1089/cpb.2007.0121","","2008-08","2020-06-05 07:57:23","2020-06-05 07:57:23","2020-06-05 07:57:23","451-457","","4","11","","CyberPsychology & Behavior","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVRM96ZI","journalArticle","2009","Pelling, Emma L.; White, Katherine M.","The Theory of Planned Behavior Applied to Young People's Use of Social Networking Web Sites","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2009.0109","http://www.liebertpub.com/doi/10.1089/cpb.2009.0109","","2009-12","2020-06-05 07:57:24","2020-06-05 07:57:24","2020-06-05 07:57:24","755-759","","6","12","","CyberPsychology & Behavior","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/YM5BBLWS/Pelling_White_2009_The Theory of Planned Behavior Applied to Young People's Use of Social.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M6YPWDWN","journalArticle","2008","Wang, Yi-Shun; Liao, Yi-Wen","Understanding Individual Adoption of Mobile Booking Service: An Empirical Investigation","CyberPsychology & Behavior","","1094-9313, 1557-8364","10.1089/cpb.2007.0203","http://www.liebertpub.com/doi/10.1089/cpb.2007.0203","","2008-10","2020-06-05 07:57:33","2020-06-05 07:57:33","2020-06-05 07:57:33","603-605","","5","11","","CyberPsychology & Behavior","Understanding Individual Adoption of Mobile Booking Service","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/3HBLZ5FJ/Wang_Liao_2008_Understanding Individual Adoption of Mobile Booking Service.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
