"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9IZZZBRY","journalArticle","2017","Segijn, Claire M.; Voorveld, Hilde A. M.; Vandeberg, Lisa; Smit, Edith G.","The Battle of the Screens: Unraveling Attention Allocation and Memory Effects When Multiscreening: The Battle of the Screens","Human Communication Research","","03603989","10.1111/hcre.12106","https://academic.oup.com/hcr/article/43/2/295-314/4064829","","2017-04","2020-06-05 08:05:30","2020-06-05 08:05:30","2020-06-05 08:05:30","295-314","","2","43","","Hum Commun Res","The Battle of the Screens","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5YE9JUDZ","journalArticle","2017","Baumgartner, Susanne E.; van der Schuur, Winneke A.; Lemmens, Jeroen S.; te Poel, Fam","The Relationship Between Media Multitasking and Attention Problems in Adolescents: Results of Two Longitudinal Studies: Media Multitasking and Attention Problems","Human Communication Research","","03603989","10.1111/hcre.12111","http://doi.wiley.com/10.1111/hcre.12111","","2017-06-15","2020-06-05 08:05:32","2020-06-05 08:05:32","2020-06-05 08:05:32","","","","","","Hum Commun Res","The Relationship Between Media Multitasking and Attention Problems in Adolescents","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMNELGY8","journalArticle","2015","Beatty, Michael J.; Pascual-Ferra, Paola; Levine, Timothy R.","Two Studies Examining the Error Theory Underlying the Measurement Model of the Verbal Aggressiveness Scale: Two Studies of the Error Theory","Human Communication Research","","03603989","10.1111/hcre.12039","https://academic.oup.com/hcr/article/41/1/55-81/4064414","","2015-01","2020-06-05 08:05:35","2020-06-05 08:05:35","2020-06-05 08:05:35","55-81","","1","41","","Hum Commun Res","Two Studies Examining the Error Theory Underlying the Measurement Model of the Verbal Aggressiveness Scale","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TKABFQ5N","journalArticle","2017","Valkenburg, Patti M.","Understanding Self-Effects in Social Media: Self-Effects in Social Media","Human Communication Research","","03603989","10.1111/hcre.12113","https://academic.oup.com/hcr/article/43/4/477-490/4670707","","2017-10","2020-06-05 08:05:38","2020-06-05 08:05:38","2020-06-05 08:05:38","477-490","","4","43","","Hum Commun Res","Understanding Self-Effects in Social Media","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BSJ7AW3W","journalArticle","2019","Meeus, Anneleen; Eggermont, Steven; Beullens, Kathleen","Constantly Connected: The Role of Parental Mediation Styles and Self-Regulation in Pre- and Early Adolescents’ Problematic Mobile Device Use","Human Communication Research","","0360-3989, 1468-2958","10.1093/hcr/hqy015","https://academic.oup.com/hcr/article/45/2/119/5144986","","2019-04-01","2020-06-05 12:13:06","2020-06-05 12:13:06","2020-06-05 12:13:06","119-147","","2","45","","","Constantly Connected","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9544ALF","journalArticle","2007","Williams, Dmitri; Caplan, Scott; Xiong, Li","Can You Hear Me Now? The Impact of Voice in an Online Gaming Community","Human Communication Research","","0360-3989, 1468-2958","10.1111/j.1468-2958.2007.00306.x","https://academic.oup.com/hcr/article/33/4/427-449/4210727","","2007-10","2020-06-05 12:13:04","2020-06-05 12:13:04","2020-06-05 12:13:04","427-449","","4","33","","Human Comm Res","Can You Hear Me Now?","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LIFTQEVI","journalArticle","2016","Tokunaga, Robert S.","An Examination of Functional Difficulties From Internet Use: Media Habit and Displacement Theory Explanations: Internet Use and Media Habits in Life Difficulties","Human Communication Research","","03603989","10.1111/hcre.12081","https://academic.oup.com/hcr/article/42/3/339-370/4064723","","2016-07","2020-06-05 12:13:02","2020-06-05 12:13:02","2020-06-05 12:13:02","339-370","","3","42","","Hum Commun Res","An Examination of Functional Difficulties From Internet Use","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIKYH5WV","journalArticle","2010","Tokunaga, Robert S.; Rains, Stephen A.","An Evaluation of Two Characterizations of the Relationships Between Problematic Internet Use, Time Spent Using the Internet, and Psychosocial Problems","Human Communication Research","","03603989","10.1111/j.1468-2958.2010.01386.x","https://academic.oup.com/hcr/article/36/4/512-545/4107482","","2010-09-16","2020-06-05 12:12:58","2020-06-05 12:12:58","2020-06-05 12:12:58","512-545","","4","36","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8F3EYBSZ","journalArticle","2017","van Oosten, Johanna M. F.; Peter, Jochen; Vandenbosch, Laura","Adolescents' Sexual Media Use and Willingness to Engage in Casual Sex: Differential Relations and Underlying Processes: Sexual Media Use and Casual Sex","Human Communication Research","","03603989","10.1111/hcre.12098","https://academic.oup.com/hcr/article/43/1/127-147/4064772","","2017-01","2020-06-05 12:12:56","2020-06-05 12:12:56","2020-06-05 12:12:56","127-147","","1","43","","Hum Commun Res","Adolescents' Sexual Media Use and Willingness to Engage in Casual Sex","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9TPQIE36","journalArticle","2016","Tokunaga, Robert S.; Rains, Stephen A.","A Review and Meta-Analysis Examining Conceptual and Operational Definitions of Problematic Internet Use: Problematic Internet Use","Human Communication Research","","03603989","10.1111/hcre.12075","https://academic.oup.com/hcr/article/42/2/165-199/4002791","","2016-04","2020-06-05 12:12:55","2020-06-05 12:12:55","2020-06-05 12:12:55","165-199","","2","42","","Hum Commun Res","A Review and Meta-Analysis Examining Conceptual and Operational Definitions of Problematic Internet Use","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
