"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"P9LUSP87","journalArticle","2018","Doherty, Kevin; Doherty, Gavin","The construal of experience in HCI: Understanding self-reports","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2017.10.006","https://linkinghub.elsevier.com/retrieve/pii/S1071581917301441","","2018-02","2020-06-05 08:07:18","2020-06-05 08:07:18","2020-06-05 08:07:18","63-74","","","110","","International Journal of Human-Computer Studies","The construal of experience in HCI","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MKPI3DEI","journalArticle","2018","Kaye, Linda K.; Monk, Rebecca L.; Wall, Helen J.; Hamlin, Iain; Qureshi, Adam W.","The effect of flow and context on in-vivo positive mood in digital gaming","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2017.10.005","https://linkinghub.elsevier.com/retrieve/pii/S107158191730143X","","2018-02","2020-06-05 08:07:20","2020-06-05 08:07:20","2020-06-05 08:07:20","45-52","","","110","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TQG9QG8E","journalArticle","2019","Turner, Liam D.; Allen, Stuart M.; Whitaker, Roger M.","The influence of concurrent mobile notifications on individual responses","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.07.011","https://linkinghub.elsevier.com/retrieve/pii/S1071581919300990","","2019-12","2020-06-05 08:07:26","2020-06-05 08:07:26","2020-06-05 08:07:26","70-80","","","132","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JFLQGE5R","journalArticle","2015","Mattarelli, Elisa; Bertolotti, Fabiola; Incerti, Valerio","The interplay between organizational polychronicity, multitasking behaviors and organizational identification: A mixed-methods study in knowledge intensive organizations","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2015.02.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581915000257","","2015-07","2020-06-05 08:07:28","2020-06-05 08:07:28","2020-06-05 08:07:28","6-19","","","79","","International Journal of Human-Computer Studies","The interplay between organizational polychronicity, multitasking behaviors and organizational identification","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/SP4UGBW9/Mattarelli et al_2015_The interplay between organizational polychronicity, multitasking behaviors and.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFLTMUKP","journalArticle","2012","Luximon, Yan; Goonetilleke, Ravindra S.","Time use behavior in single and time-sharing tasks","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2012.01.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581912000122","","2012-05","2020-06-05 08:07:34","2020-06-05 08:07:34","2020-06-05 08:07:34","332-345","","5","70","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JG8SCK4B","journalArticle","2010","Magni, Massimo; Susan Taylor, M.; Venkatesh, Viswanath","‘To play or not to play’: A cross-temporal investigation using hedonic and instrumental perspectives to explain user intentions to explore a technology","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2010.03.004","https://linkinghub.elsevier.com/retrieve/pii/S1071581910000418","","2010-09","2020-06-05 08:07:37","2020-06-05 08:07:37","2020-06-05 08:07:37","572-588","","9","68","","International Journal of Human-Computer Studies","‘To play or not to play’","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7T7XJSEQ","journalArticle","2014","Gaspar, Rui; Gorjão, Sara; Seibt, Beate; Lima, Luisa; Barnett, Julie; Moss, Adrian; Wills, Josephine","Tweeting during food crises: A psychosocial analysis of threat coping expressions in Spain, during the 2011 European EHEC outbreak","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2013.10.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581913001353","","2014-02","2020-06-05 08:07:39","2020-06-05 08:07:39","2020-06-05 08:07:39","239-254","","2","72","","International Journal of Human-Computer Studies","Tweeting during food crises","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/NYZHR62S/Gaspar et al_2014_Tweeting during food crises.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2XR5CHHH","journalArticle","2019","Visuri, Aku; van Berkel, Niels; Okoshi, Tadashi; Goncalves, Jorge; Kostakos, Vassilis","Understanding smartphone notifications’ user interactions and content importance","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.03.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581919300205","","2019-08","2020-06-05 08:07:49","2020-06-05 08:07:49","2020-06-05 08:07:49","72-85","","","128","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UASGUSX","journalArticle","2011","Brandtzæg, Petter Bae; Heim, Jan; Karahasanović, Amela","Understanding the new digital divide—A typology of Internet users in Europe","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2010.11.004","https://linkinghub.elsevier.com/retrieve/pii/S1071581910001461","","2011-03","2020-06-05 08:07:51","2020-06-05 08:07:51","2020-06-05 08:07:51","123-138","","3","69","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SJQVJ7AC","journalArticle","2015","Salim, Flora; Haque, Usman","Urban computing in the wild: A survey on large scale participation and citizen engagement with ubiquitous computing, cyber physical systems, and Internet of Things","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2015.03.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581915000488","","2015-09","2020-06-05 08:07:53","2020-06-05 08:07:53","2020-06-05 08:07:53","31-48","","","81","","International Journal of Human-Computer Studies","Urban computing in the wild","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFH3LNFR","journalArticle","2009","Stockwell, Paul; Colomb, Robert M.; Smith, Andrew E.; Wiles, Janet","Use of an automatic content analysis tool: A technique for seeing both local and global scope","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2008.12.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581908001742","","2009-05","2020-06-05 08:07:55","2020-06-05 08:07:55","2020-06-05 08:07:55","424-436","","5","67","","International Journal of Human-Computer Studies","Use of an automatic content analysis tool","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSXI784C","journalArticle","2011","Harbich, Stefanie; Hassenzahl, Marc","Using behavioral patterns to assess the interaction of users and product","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2011.03.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581911000371","","2011-07","2020-06-05 08:07:57","2020-06-05 08:07:57","2020-06-05 08:07:57","496-508","","7-8","69","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62SWNTZ9","journalArticle","2020","Zhou, Ninger; Kisselburgh, Lorraine; Chandrasegaran, Senthil; Badam, S. Karthik; Elmqvist, Niklas; Ramani, Karthik","Using social interaction trace data and context to predict collaboration quality and creative fluency in collaborative design learning environments","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.102378","https://linkinghub.elsevier.com/retrieve/pii/S1071581919301442","","2020-04","2020-06-05 08:07:59","2020-06-05 08:07:59","2020-06-05 08:07:59","102378","","","136","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESBD62Z8","journalArticle","2018","Johnson, Daniel; Gardner, M. John; Perry, Ryan","Validation of two game experience scales: The Player Experience of Need Satisfaction (PENS) and Game Experience Questionnaire (GEQ)","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2018.05.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581918302337","","2018-10","2020-06-05 08:08:02","2020-06-05 08:08:02","2020-06-05 08:08:02","38-46","","","118","","International Journal of Human-Computer Studies","Validation of two game experience scales","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/SK63KMQM/Johnson et al_2018_Validation of two game experience scales.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELLDT4KR","journalArticle","2014","Iivari, Netta; Kinnula, Marianne; Kuure, Leena; Molin-Juustila, Tonja","Video diary as a means for data gathering with children – Encountering identities in the making","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2014.02.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581914000275","","2014-05","2020-06-05 08:08:12","2020-06-05 08:08:12","2020-06-05 08:08:12","507-521","","5","72","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J28BUYEX","journalArticle","2011","Oulasvirta, Antti; Wahlström, Mikael; Anders Ericsson, K.","What does it mean to be good at using a mobile device? An investigation of three levels of experience and skill","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2010.11.003","https://linkinghub.elsevier.com/retrieve/pii/S107158191000145X","","2011-03","2020-06-05 08:08:14","2020-06-05 08:08:14","2020-06-05 08:08:14","155-169","","3","69","","International Journal of Human-Computer Studies","What does it mean to be good at using a mobile device?","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7SRDMU94","journalArticle","2019","Apaolaza, Aitor; Vigo, Markel","Assisted pattern mining for discovering interactive behaviours on the web","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.06.012","https://linkinghub.elsevier.com/retrieve/pii/S1071581919300813","","2019-10","2020-06-05 12:14:09","2020-06-05 12:14:09","2020-06-05 12:14:09","196-208","","","130","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/RPF73SVD/Apaolaza and Vigo - 2019 - Assisted pattern mining for discovering interactiv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PTJFBIK5","journalArticle","2020","Villalobos-Zúñiga, Gabriela; Cherubini, Mauro","Apps That Motivate: a Taxonomy of App Features Based on Self-Determination Theory","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2020.102449","https://linkinghub.elsevier.com/retrieve/pii/S1071581920300513","","2020-08","2020-06-05 12:14:00","2020-06-05 12:14:00","2020-06-05 12:14:00","102449","","","140","","International Journal of Human-Computer Studies","Apps That Motivate","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/MZPLGG7Q/Villalobos-Zúñiga and Cherubini - 2020 - Apps That Motivate a Taxonomy of App Features Bas.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GM7ZYIJ","journalArticle","2017","Vaziri, Daryoush Daniel; Aal, Konstantin; Gschwind, Yves J; Delbaere, Kim; Weibert, Anne; Annegarn, Janneke; de Rosario, Helios; Wieching, Rainer; Randall, David; Wulf, Volker","Analysis of effects and usage indicators for a ICT-based fall prevention system in community dwelling older adults","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2017.05.004","https://linkinghub.elsevier.com/retrieve/pii/S1071581917300769","","2017-10","2020-06-05 12:13:59","2020-06-05 12:13:59","2020-06-05 12:13:59","10-25","","","106","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W67KL8CT","journalArticle","2017","Chang, Yung-Ju; Paruthi, Gaurav; Wu, Hsin-Ying; Lin, Hsin-Yu; Newman, Mark W.","An investigation of using mobile and situated crowdsourcing to collect annotated travel activity data in real-word settings","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2016.11.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581916301525","","2017-06","2020-06-05 12:13:57","2020-06-05 12:13:57","2020-06-05 12:13:57","81-102","","","102","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTITDFUV","journalArticle","2013","Sahami Shirazi, Alireza; Clawson, James; Hassanpour, Yashar; Tourian, Mohammad J.; Schmidt, Albrecht; Chi, Ed H.; Borazio, Marko; Van Laerhoven, Kristof","Already up? using mobile phones to track & share sleep behavior","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2013.03.001","https://linkinghub.elsevier.com/retrieve/pii/S1071581913000244","","2013-09","2020-06-05 12:13:55","2020-06-05 12:13:55","2020-06-05 12:13:55","878-888","","9","71","","International Journal of Human-Computer Studies","Already up?","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7J4UDYQ7","journalArticle","2008","Kang, Neung Eun; Yoon, Wan Chul","Age- and experience-related user behavior differences in the use of complicated electronic devices","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2007.12.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581907001711","","2008-06","2020-06-05 12:13:54","2020-06-05 12:13:54","2020-06-05 12:13:54","425-437","","6","66","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNSK8TFM","journalArticle","2013","Broekens, Joost; Brinkman, Willem-Paul","AffectButton: A method for reliable and valid affective self-report","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2013.02.003","https://linkinghub.elsevier.com/retrieve/pii/S1071581913000220","","2013-06","2020-06-05 12:13:46","2020-06-05 12:13:46","2020-06-05 12:13:46","641-667","","6","71","","International Journal of Human-Computer Studies","AffectButton","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/PTFA9U8R/Broekens and Brinkman - 2013 - AffectButton A method for reliable and valid affe.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2YG24REN","journalArticle","2018","O’Brien, Heather L.; Cairns, Paul; Hall, Mark","A practical approach to measuring user engagement with the refined user engagement scale (UES) and new UES short form","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2018.01.004","https://linkinghub.elsevier.com/retrieve/pii/S1071581918300041","","2018-04","2020-06-05 12:13:35","2020-06-05 12:13:35","2020-06-05 12:13:35","28-39","","","112","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/QUN8U8C6/O’Brien et al. - 2018 - A practical approach to measuring user engagement .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQMK6TVD","journalArticle","2020","Hung, Lun-Ping; Lin, Chun-Cheng","A multiple warning and smart monitoring system using wearable devices for home care","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2019.102381","https://linkinghub.elsevier.com/retrieve/pii/S1071581919301478","","2020-04","2020-06-05 12:13:34","2020-06-05 12:13:34","2020-06-05 12:13:34","102381","","","136","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TG6FRV4F","journalArticle","2015","Zemla, Jeffrey C.; Tossell, Chad C.; Kortum, Philip; Byrne, Michael D.","A Bayesian approach to predicting website revisitation on mobile phones","International Journal of Human-Computer Studies","","10715819","10.1016/j.ijhcs.2015.06.002","https://linkinghub.elsevier.com/retrieve/pii/S1071581915001044","","2015-11","2020-06-05 12:13:32","2020-06-05 12:13:32","2020-06-05 12:13:32","43-50","","","83","","International Journal of Human-Computer Studies","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
