"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3KKGKK8W","journalArticle","2018","Walther, Joseph B.; Kashian, Nicole; Jang, Jeong-Woo; Shin, Soo Yun; Dai, Yue (Nancy); Koutamanis, Maria","The Effect of Message Persistence and Disclosure on Liking in Computer-Mediated Communication","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2016.1247718","https://www.tandfonline.com/doi/full/10.1080/15213269.2016.1247718","","2018-04-03","2020-06-05 08:06:25","2020-06-05 08:06:25","2020-06-05 08:06:25","308-327","","2","21","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZESJECBI","journalArticle","2007","Rockwell, Steven C.; Singleton, Loy A.","The Effect of the Modality of Presentation of Streaming Multimedia on Information Acquisition","Media Psychology","","1521-3269, 1532-785X","10.1080/15213260709336808","http://www.tandfonline.com/doi/abs/10.1080/15213260709336808","","2007-03","2020-06-05 08:06:27","2020-06-05 08:06:27","2020-06-05 08:06:27","179-191","","1","9","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AKBVVKLL","journalArticle","2015","Bond, Bradley J.","The Mediating Role of Self-Discrepancies in the Relationship Between Media Exposure and Well-Being Among Lesbian, Gay, and Bisexual Adolescents","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2014.917591","http://www.tandfonline.com/doi/abs/10.1080/15213269.2014.917591","","2015-01-02","2020-06-05 08:06:29","2020-06-05 08:06:29","2020-06-05 08:06:29","51-73","","1","18","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EWC5R49X","journalArticle","2019","Schnauber-Stockmann, Anna; Naab, Teresa K.","The process of forming a mobile media habit: results of a longitudinal study in a real-world setting","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2018.1513850","https://www.tandfonline.com/doi/full/10.1080/15213269.2018.1513850","","2019-09-03","2020-06-05 08:06:31","2020-06-05 08:06:31","2020-06-05 08:06:31","714-742","","5","22","","Media Psychology","The process of forming a mobile media habit","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WLHWIU8","journalArticle","2009","Ravaja, Niklas","The Psychophysiology of Digital Gaming: The Effect of a Non Co-Located Opponent","Media Psychology","","1521-3269, 1532-785X","10.1080/15213260903052240","http://www.tandfonline.com/doi/abs/10.1080/15213260903052240","","2009-08-19","2020-06-05 08:06:35","2020-06-05 08:06:35","2020-06-05 08:06:35","268-294","","3","12","","Media Psychology","The Psychophysiology of Digital Gaming","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75GQMXNF","journalArticle","2017","Vangeel, Jolien; Beullens, Kathleen; Vervoort, Leentje; Cock, Nathalie De; Lippevelde, Wendy Van; Goossens, Lien; Eggermont, Steven","The Role Behavioral of Activation and Inhibition in Explaining Adolescents’ Game Use and Game Engagement Levels","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2016.1142378","https://www.tandfonline.com/doi/full/10.1080/15213269.2016.1142378","","2017-01-02","2020-06-05 08:06:37","2020-06-05 08:06:37","2020-06-05 08:06:37","116-143","","1","20","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25TXFS3E","journalArticle","2016","Fikkers, Karin M.; Piotrowski, Jessica Taylor; Lugtig, Peter; Valkenburg, Patti M.","The Role of Perceived Peer Norms in the Relationship Between Media Violence Exposure and Adolescents' Aggression","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2015.1037960","http://www.tandfonline.com/doi/full/10.1080/15213269.2015.1037960","","2016-01-02","2020-06-05 08:06:40","2020-06-05 08:06:40","2020-06-05 08:06:40","4-26","","1","19","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/dougaparry/Zotero/storage/TEXLY73R/Fikkers et al_2016_The Role of Perceived Peer Norms in the Relationship Between Media Violence.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HRWR8HM","journalArticle","2019","Hwang, Yoori; Jeong, Se-Hoon","The role of user control in media multitasking effects","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2019.1659152","https://www.tandfonline.com/doi/full/10.1080/15213269.2019.1659152","","2019-08-27","2020-06-05 08:06:46","2020-06-05 08:06:46","2020-06-05 08:06:46","1-30","","","","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZK83NAH","journalArticle","2016","Reeves, Byron; Yeykelis, Leo; Cummings, James J.","The Use of Media in Media Psychology","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2015.1030083","http://www.tandfonline.com/doi/full/10.1080/15213269.2015.1030083","","2016-01-02","2020-06-05 08:06:49","2020-06-05 08:06:49","2020-06-05 08:06:49","49-71","","1","19","","Media Psychology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IAXHHMWX","journalArticle","2013","McGloin, Rory; Farrar, Kirstie; Krcmar, Marina","Video Games, Immersion, and Cognitive Aggression: Does the Controller Matter?","Media Psychology","","1521-3269, 1532-785X","10.1080/15213269.2012.752428","http://www.tandfonline.com/doi/abs/10.1080/15213269.2012.752428","","2013-01","2020-06-05 08:06:52","2020-06-05 08:06:52","2020-06-05 08:06:51","65-87","","1","16","","Media Psychology","Video Games, Immersion, and Cognitive Aggression","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
