"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BHITIV6B","journalArticle","2012","boyd, danah; Crawford, Kate","CRITICAL QUESTIONS FOR BIG DATA.","Information, Communication & Society","","1369118X","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=76143001&site=ehost-live&authtype=ip,sso&custid=s4392798","The era of Big Data has begun. Computer scientists, physicists, economists, mathematicians, political scientists, bio-informaticists, sociologists, and other scholars are clamoring for access to the massive quantities of information produced by and about people, things, and their interactions. Diverse groups argue about the potential benefits and costs of analyzing genetic sequences, social media interactions, health records, phone logs, government records, and other digital traces left by people. Significant questions emerge. Will large-scale search data help us create better tools, services, and public goods? Or will it usher in a new wave of privacy incursions and invasive marketing? Will data analytics help us understand online communities and political movements? Or will it be used to track protesters and suppress speech? Will it transform how we study human communication and culture, or narrow the palette of research options and alter what ‘research’ means? Given the rise of Big)","2012","2020-06-05 21:15:34","2020-06-05 21:15:34","","662 - 679","","5","15","","","","","","","","","","","","","","","","","","","","","Twitter; social media; Big Data; ethics; Digital communications; Digital technology; analytics; social network sites; Behavioral scientists; communication studies; Economists; epistemology; philosophy of science; Social scientists","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T7USYZF7","journalArticle","2012","De Pessemier, Toon; De Moor, Katrien; Joseph, Wout; De Marez, Lieven; Martens, Luc","Quantifying Subjective Quality Evaluations for Mobile Video Watching in a Semi-Living Lab Context.","IEEE Transactions on Broadcasting","","00189316","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=83592724&site=ehost-live&authtype=ip,sso&custid=s4392798","This paper discusses results from an exploratory study in which Quality of Experience aspects related to mobile video watching were investigated in a semi-living lab setting. More specifically, we zoom in on usage patterns in a natural research context and on the subjective evaluation of high and low-resolution movie trailers that are transferred to a mobile device using two transmission protocols for video (i.e., real-time transport protocol and progressive download using HTTP). User feedback was collected by means of short questionnaires on the mobile device, combined with traditional pen and paper diaries. The subjective evaluations regarding the general technical quality, perceived distortion, fluentness of the video, and loading speed are studied and the influence of the transmission protocol and video resolution on these evaluations is analyzed. Multinomial logistic regression results in a model to estimate the subjective evaluations regarding the perceived distortion and loadin)","2012","2020-06-05 21:15:34","2020-06-05 21:15:34","","580 - 589","","4","58","","","","","","","","","","","","","","","","","","","","","Quality of service; Streaming media; quality of experience; Mobile communication; Motion pictures; Wireless communication; HTTP (Computer network protocol); Living Lab; Logistic regression analysis; Mobile communication systems; Mobile handsets; mobile video; Pattern recognition systems; Protocols; subjective evaluation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GU8L2KY6","journalArticle","2014","Ceron, Andrea; Curini, Luigi; Iacus, Stefano M; Porro, Giuseppe","Every tweet counts? How sentiment analysis of social media can improve our knowledge of citizens’ political preferences with an application to Italy and France.","New Media & Society","","14614448","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=94517266&site=ehost-live&authtype=ip,sso&custid=s4392798","The growing usage of social media by a wider audience of citizens sharply increases the possibility of investigating the web as a device to explore and track political preferences. In the present paper we apply a method recently proposed by other social scientists to three different scenarios, by analyzing on one side the online popularity of Italian political leaders throughout 2011, and on the other the voting intention of French Internet users in both the 2012 presidential ballot and the subsequent legislative election. While Internet users are not necessarily representative of the whole population of a country’s citizens, our analysis shows a remarkable ability for social media to forecast electoral results, as well as a noteworthy correlation between social media and the results of traditional mass surveys. We also illustrate that the predictive ability of social media analysis strengthens as the number of citizens expressing their opinion online increases, provided that the citi)","2014","2020-06-05 21:15:34","2020-06-05 21:15:34","","340 - 358","","2","16","","","","","","","","","","","","","","","","","","","","","social media; sentiment analysis; text analytics; Sentiment analysis; text mining; Public opinion; Social scientists; Analysis of public opinion; Elections; electoral campaign; political forecast; Political forecasting; Social media research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KB36TWXA","journalArticle","2014","Müller-Spitzer, Carolin","Methoden der Wörterbuchbenutzungsforschung [Methods of research in dictionary use / Méthodes de la recherche sur l'utilisation des dictionnaires].","Lexicographica","","01756206","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=99345655&site=ehost-live&authtype=ip,sso&custid=s4392798","The methods utilized in the area of research into dictionary use are established research methods in the social sciences. After explicating the different steps of a typical empirical investigation, this article provides examples of how these different methods are used in various user studies conducted in the field of using online dictionaries. Thereby, different kinds of data collection (surveys as online questionnaires, log files and eye tracking) as well as different research design structures (for instance, ex-post-facto design or experimental design) are discussed. [ABSTRACT FROM AUTHOR], Copyright of Lexicographica is the property of De Gruyter and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original pu)","2014","2020-06-05 21:15:34","2020-06-05 21:15:34","","112 - 151","","1","30","","","","","","","","","","","","","","","","","","","","","Eyetracking; Befragung; empirische Worterbuchbenutzungsforschung; Logfiles; Onlineworterbuch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SC877YG9","journalArticle","2008","Smeltzer, Sandra","Biotechnology, the Environment, and Alternative Media in Malaysia.","Canadian Journal of Communication","","07053657","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=31459645&site=ehost-live&authtype=ip,sso&custid=s4392798","The Malaysian government has embarked on an ambitious path to make biotechnology a key driver of the country's economic future. This burgeoning sector is being developed by a state with a problematic environmental track record, which does not bode well for the future. As mainstream Malaysian media are heavily controlled through a range of restrictive laws and hegemonic pressures to self-censor, critical coverage of biotechnology and its implicit ties to the environment is, not surprisingly, sparse. The focus of this article, however, is the relative scarcity of critical discussions about these issues in the country's vital alternative media. This article offers a number of suggestions for this short- fall, including government restrictions on available information, the complexity of relevant issues, a lack of recognition of the industry's importance, and the tenuous relationship between environmental NGOs and alternative media practitioners and organizations. (English) [ABSTRACT FROM )","2008","2020-06-05 21:15:34","2020-06-05 21:15:34","","5 - 20","","1","33","","","","","","","","","","","","","","","","","","","","","Economic development; Malaysia; Environment; Biotechnology; Alternative mass media; Alternative media; Bioethics; Biotechnologie; Biotechnology industries; Economic activity; Environnement; High technology; Industrial ecology; Malaisie; Médias altematifs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMQTF4BH","journalArticle","2014","Liew, Kai Khiun; Pang, Natalie; Chan, Brenda","Industrial railroad to digital memory routes: remembering the last railway in Singapore.","Media, Culture & Society","","01634437","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=98674004&site=ehost-live&authtype=ip,sso&custid=s4392798","The Keretapi Tanah Melayu (KTM) Berhad railway line was a crucial mode of transport for goods and passengers moving between Singapore and its neighbouring country Malaysia. Tanjong Pagar railway station – the terminus of the KTM railway line in Singapore – ceased operation from 1 July 2011, and KTM railway tracks in Singapore were slated for removal, after the relocation of the terminus to a border station between the two countries. This event has led to various initiatives by the state and civil society to remember the KTM railway. This article explores how people utilize Web 2.0 technologies to archive and share railway memories in Singapore. The differences between state-initiated websites and grassroots efforts of remembering the KTM railway bring into question the nature of state–society relations in the practices of memory-making in the digital era. Once reliant on state-run museums, Singaporeans are now remembering the KTM railway tracks through volumes of still and moving imag)","2014","2020-06-05 21:15:34","2020-06-05 21:15:34","","761 - 775","","6","36","","","","","","","","","","","","","","","","","","","","","Memory; social media; connectivity; memories; Singapore; Industrial railroads; Intellect; postcolonial; Railroads; railway","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AAXJHAQB","journalArticle","2015","Wiener, Seth; Ito, Kiwako","Do syllable-specific tonal probabilities guide lexical access? Evidence from Mandarin, Shanghai and Cantonese speakers.","Language, Cognition & Neuroscience","","23273798","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=110676125&site=ehost-live&authtype=ip,sso&custid=s4392798","An eye-tracking study investigated how the interaction between syllable frequency and syllable-specific tonal probability guides online lexical access in speakers of mutually unintelligible Chinese dialects with three disparate tonal systems. Mono-dialectal Mandarin speakers, bi-dialectal Shanghai-Mandarin speakers and bi-dialectal Cantonese-Mandarin speakers searched for target Mandarin syllable-tone combinations while their eye movements and mouse clicks were recorded. The results showed dialectal differences in online eye fixation patterns but not in offline mouse responses. For all groups, mouse clicks were fastest for infrequent syllables with most probable tones and slowest for infrequent syllables with least probable tones. In online eye movement responses, only mono-dialectal Mandarin speakers showed an interaction between syllable frequency and tonal probability. Mono-dialectal Mandarin speakers' fixations were fastest for infrequent syllables with probable tones and slowest )","2015","2020-06-05 21:15:33","2020-06-05 21:15:33","","1048 - 1060","","9","30","","","","","","","","","","","","","","","","","","","","","eye-tracking; lexical access; lexical tone; Mandarin Chinese; spoken word recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2QSRL8I","journalArticle","2015","Premaratne, Dilhara D.","Globalisation, language planning and language rights: the recent script policy measures adopted by Japan and the People's Republic of China.","Current Issues in Language Planning","","14664208","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=109463893&site=ehost-live&authtype=ip,sso&custid=s4392798","In 2009, two significant script policy measures were adopted by Japan and the People's Republic of China (China hereafter), both as a response to national language needs triggered by globalisation. However, the measures chosen by the two countries were very different, Japan choosing to increase and China choosing to standardise the Chinese characters in the respective official character lists. The Japanese script reform measure was an integral part of Japan's recent national efforts to beautify the Japanese language and preserve the Japanese culture. The new script policy was implemented specifically to counteract the impact of digital media on the Japanese script which came about due to the globalisation process. The latest Japanese script reform thus drastically increased the number of officialkanji(Chinese characters in the official character list), which had been substantially reduced in 1946 to facilitate mass literacy. In contrast, the Chinese script reform measure was an attemp)","2015","2020-06-05 21:15:33","2020-06-05 21:15:33","","425 - 440","","4","16","","","","","","","","","","","","","","","","","","","","","Globalization; globalisation; China; Japan; Chinese characters; kanji; language planning; Language planning; Language policy; Language research; language rights; nationalism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MTEBVNZ6","journalArticle","2016","Simkins, Travis Jody; Peterson, Mark","Assessing the Value of a Societal-Level Sustainability Index for Macromarketing Research.","Journal of Macromarketing","","02761467","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=112801924&site=ehost-live&authtype=ip,sso&custid=s4392798","As the Internet makes secondary data increasingly more accessible and less costly to obtain, the need for methods to evaluate the reliability and validity of such data has grown accordingly. In efforts to harness the surge of data at the country level, researchers have created indexes to more efficiently track the performance of societies on a variety of dimensions. Large-scale global indexes like the Sustainable Society Index (SSI), published biannually since 2006 by the Sustainable Society Foundation, have the potential to provide valuable insights into important issues related to macromarketing, sustainability, and quality of life. The primary purpose of this article is to assess the value of a societal-level index for macromarketing research. By evaluating the reliability, internal validity and external validity of a societal-level index, such as the SSI, researchers will be better informed about the importance of such an index, but will also understand how the protocol used in th)","2016","2020-06-05 21:15:33","2020-06-05 21:15:33","","78 - 95","","1","36","","","","","","","","","","","","","","","","","","","","","Sustainability; sustainability; Quality of life; index; corruption; country risk; indexes; indices; macromarketing; Macromarketing; Marketing research; prosperity; societal-level index; Transparency International","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GFMCMNFQ","journalArticle","2014","Krontiris, Ioannis; Langheinrich, Marc; Shilton, Katie","Trust and privacy in mobile experience sharing: future challenges and avenues for research.","IEEE Communications Magazine","","01636804","","https://search.ebscohost.com/login.aspx?direct=true&db=ufh&AN=97518643&site=ehost-live&authtype=ip,sso&custid=s4392798","Mobile consumer devices are increasingly used as personal sensing instruments, where users record their daily habits, track their physical activity, or monitor their health. Research is underway to extend today's diversity of vendor-designed ""walled garden"" repositories, ultimately repositioning individuals as producers, consumers, and remixers of a vast openly shared public data set. By empowering people to easily measure, report, and compare their own personal environments, such tools transform everyday citizens into reporting agents who uncover and visualize unseen elements of their own everyday experiences. With this important new shift in mobile device usage - from a communication tool to a ubiquitous ""experience sharing instrument"" - comes a new dimension in trust and privacy challenges. Today's privacy and trust tools that address web surfing and simple location-based services already struggle to be adopted in practice. We argue that in order to prepare for tomorrow's sensor sh)","2014","2020-06-05 21:15:33","2020-06-05 21:15:33","","50 - 55","","8","52","","","","","","","","","","","","","","","","","","","","","Privacy; Data privacy; Trust management; Sensors; Data collection; Smart phones; Wireless communications; Mobile communication; Mobile communication systems; Cellular phones; Communications research; Consumer devices; Household electronics; Telecommunication research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
