"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6YQTGDQW","conferencePaper","2019","Huang, Huang; Tao, Haijun; Wang, Haifeng","A Convolutional Neural Network Based Method for Low-Illumination Image Enhancement","Proceedings of the 2nd International Conference on Artificial Intelligence and Pattern Recognition","978-1-4503-7229-9","","10.1145/3357254.3357255","https://doi-org.ez.sun.ac.za/10.1145/3357254.3357255","","2019","2020-06-05 12:20:37","2020-06-05 12:20:37","","72–77","","","","","","","AIPR ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Beijing, China","","","","convolutional neural network; loss function; low-illumination image enhancement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MZSE477P","conferencePaper","2019","Xixu, Shao; Bingyue, Liu; Nair, Radha Krishnan","Factors That Influence the Undergraduate Accounting Students In UCSI University To Choose External Auditing As A Career Choice","Proceedings of the 2019 2nd International Conference on E-Business, Information Management and Computer Science","978-1-4503-6649-6","","10.1145/3377817.3377828","https://doi-org.ez.sun.ac.za/10.1145/3377817.3377828","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","EBIMCS ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Kuala Lumpur, Malaysia","","","","perception; benefits; career; Accounting; Auditor; Job; salary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EU3SA24","conferencePaper","2020","Zhang, Yicong; Wang, Mingyu; Li, Zhaolin","An Efficient Object Detection Framework with Modified Dense Connections for Small Objects Optimizations","Proceedings of the 17th ACM International Conference on Computing Frontiers","978-1-4503-7956-4","","10.1145/3387902.3392620","https://doi-org.ez.sun.ac.za/10.1145/3387902.3392620","","2020","2020-06-05 12:20:38","2020-06-05 12:20:38","","174–181","","","","","","","CF ’20","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Catania, Sicily, Italy","","","","convolutional neural network; dense connection; object detection; residual structure; small objects","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B9GCAFJF","conferencePaper","2019","Trubiani, Catia; Apel, Sven","PLUS: Performance Learning for Uncertainty of Software","Proceedings of the 41st International Conference on Software Engineering: New Ideas and Emerging Results","","","10.1109/ICSE-NIER.2019.00028","https://doi-org.ez.sun.ac.za/10.1109/ICSE-NIER.2019.00028","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","77–80","","","","","","","ICSE-NIER ’19","","","","IEEE Press","","","","","","","","","event-place: Montreal, Quebec, Canada","","","","uncertainty; machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMLPDQDU","conferencePaper","2019","Pham, Thi T.T.; Déniz, Héctor Rodriguez; Pham, Tuan D.","Tensor Decomposition of Non-EEG Physiological Signals for Visualization and Recognition of Human Stress","Proceedings of the 2019 11th International Conference on Bioinformatics and Biomedical Technology","978-1-4503-6231-3","","10.1145/3340074.3340096","https://doi-org.ez.sun.ac.za/10.1145/3340074.3340096","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","132–136","","","","","","","ICBBT’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Stockholm, Sweden","","","","biosensors; feature visualization; pattern classification; physiological signals; Stress assessment; tensor decomposition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJHIMA9Y","conferencePaper","2019","He, Siyu; He, Yongzhong; Li, Mingzhe","Classification of Illegal Activities on the Dark Web","Proceedings of the 2019 2nd International Conference on Information Science and Systems","978-1-4503-6103-3","","10.1145/3322645.3322691","https://doi-org.ez.sun.ac.za/10.1145/3322645.3322691","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","73–78","","","","","","","ICISS 2019","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Tokyo, Japan","","","","classification; Dark web; illegal activities; legal; Tor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A5JPPTEY","book","2020","","HRI ’20: Companion of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","","978-1-4503-7057-8","","","","","2020","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UXGL4YXP","conferencePaper","2019","Mitropoulos, Dimitris; Louridas, Panos; Salis, Vitalis; Spinellis, Diomidis","Time Present and Time Past: Analyzing the Evolution of JavaScript Code in the Wild","Proceedings of the 16th International Conference on Mining Software Repositories","","","10.1109/MSR.2019.00029","https://doi-org.ez.sun.ac.za/10.1109/MSR.2019.00029","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","126–137","","","","","","","MSR ’19","","","","IEEE Press","","","","","","","","","event-place: Montreal, Quebec, Canada","","","","JavaScript; code reuse; bug persistence; software evolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPX23V57","book","2020","","HRI ’20: Proceedings of the 2020 ACM/IEEE International Conference on Human-Robot Interaction","","978-1-4503-6746-2","","","","","2020","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IYZCYR7C","conferencePaper","2019","Watson, Robert B.","Affordable Patient Record Automation for Small Clinics: Field Testing the PiClinic Console","Proceedings of the 37th ACM International Conference on the Design of Communication","978-1-4503-6790-5","","10.1145/3328020.3353916","https://doi-org.ez.sun.ac.za/10.1145/3328020.3353916","","2019","2020-06-05 12:20:38","2020-06-05 12:20:38","","","","","","","","","SIGDOC ’19","","","","Association for Computing Machinery","New York, NY, USA","","","","","","","","event-place: Portland, Oregon","","","","electronic health record (EHR) systems; information communication technology for development (ICT4D); international teams; technical communication education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
