"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7SBRQWCY","journalArticle","2015","Whitworth, David E.; Wright, Kate","Online assessment of learning and engagement in university laboratory practicals","British Journal of Educational Technology","","0007-1013, 0007-1013","10.1111/bjet.12193","https://search.proquest.com/docview/1751222352?accountid=14026","In science education, laboratory practicals are frequently assessed through submission of a report. A large increase in student numbers necessitated us adapting a traditional practical report into an online test with automated marking. The assessment was designed to retain positive features of the traditional laboratory report but with added pedagogic and administrative benefits made possible through the online medium. After performing their experiments, students were given idealised data, enabling immediate comparison with their own results, and asked to perform a series of calculations based on that ideal data. The two‐part test asked questions about the students' calculations. Part I was formative, ensuring that the students had mastered basic concepts before advanced concepts were tested in Part II. The test rewarded correct methodology and understanding as well as the right answers and gave absolute consistency to the marking scheme. Students could submit at their convenience and received instant feedback. The assessment was met with emphatically positive feedback from students. In addition, it was possible to track submissions by students, providing insights into their behaviour. Students appeared to group into three submission styles—early submitters, considered submitters and last minute submitters—information which can be useful to guide pedagogic practice. In the latest iteration, analysis of submission behaviour gave us confidence to reduce the time before the submission deadline, which resulted in a substantial increase in student attainment. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)","2015-11","2020-06-05 21:21:00","2020-06-05 21:21:00","","1201-1213","","6","46","","","","","","","","","","English","","","APA PsycInfo®","1751222352; 2015-47224-016","","","Publisher: Wiley-Blackwell Publishing Ltd. Blackwell Publishing","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Online+assessment+of+learning+and+engagement+in+university+laboratory+practicals&title=British+Journal+of+Educational+Technology&issn=00071013&date=2015-11-01&volume=46&issue=6&spage=1201&au=Whitworth%2C+David+E.%3BWright%2C+Kate&isbn=&jtitle=British+Journal+of+Educational+Technology&btitle=&rft_id=info:eric/2015-47224-016&rft_id=info:doi/10.1111%2Fbjet.12193","article; learning; Human; Empirical Study; science education; Educational Measurement; 3530:Curriculum & Programs & Teaching Methods; Adulthood (18 yrs & older); automated marking; College Students; Computer Assisted Instruction; Computerized Assessment; Educational Laboratories; online assessments; online test; Quantitative Study; Science Education; university laboratory practicals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JS9HUAPE","journalArticle","2015","Ji, Ke; Sun, Runyuan; Shu, Wenhao; Li, Xiang","Next-song recommendation with temporal dynamics","Knowledge-Based Systems","","0950-7051, 0950-7051","10.1016/j.knosys.2015.07.039","https://search.proquest.com/docview/1707078011?accountid=14026","Music recommendation has become an important way to reduce users’ burden in discovering songs that meet their interest from a large-scale online music site. Compared with general behavior, user listening behavior has a very strong time dependence in that users frequently change their music interest in different sessions, where the concept of a “session” is that of a single user continuously listening to songs over a period of time. However, most existing methods ignore temporal dynamics of both users and songs across sessions. In this paper, we analyze the temporal characters of a real music dataset from Last.fm and propose Time-based Markov Embedding (TME), a next-song recommendation model via Latent Markov Embedding, which boost the recommendation performance by leveraging temporal information. Specifically, we consider a scenario where user music interest is affected by long-term, short-term and session-term effects. By capturing temporal dynamics in the three effects, our model can track the change of user interest over time. We have conducted experiments on a Last.fm dataset. Results demonstrate that with our time-based model, the recommendation accuracy is significantly improved compared to other state-of-the-art methods. (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)","2015-11","2020-06-05 21:21:00","2020-06-05 21:21:00","","134-143","","","88","","","","","","","","","","English","","","APA PsycInfo®","1707078011; 2015-38801-001","","","Publisher: Elsevier Science","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Next-song+recommendation+with+temporal+dynamics&title=Knowledge-Based+Systems&issn=09507051&date=2015-11-01&volume=88&issue=&spage=134&au=Ji%2C+Ke%3BSun%2C+Runyuan%3BShu%2C+Wenhao%3BLi%2C+Xiang&isbn=&jtitle=Knowledge-Based+Systems&btitle=&rft_id=info:eric/2015-38801-001&rft_id=info:doi/10.1016%2Fj.knosys.2015.07.039","article; Human; Empirical Study; Music; Databases; Markov Chains; Quantitative Study; 4120:Artificial Intelligence & Expert Systems; Expert Systems; Markov embedding; Mathematical Model; Mathematical Modeling; Music playlist; Music recommendation; Preferences; Sequence prediction; Temporal dynamics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3TM4DP98","journalArticle","2015","Bärgman, Jonas; Smith, Kip; Werneke, Julia","Quantifying drivers’ comfort-zone and dread-zone boundaries in left turn across path/opposite direction (LTAP/OD) scenarios","Transportation Research Part F: Traffic Psychology and Behaviour","","1369-8478, 1369-8478","10.1016/j.trf.2015.10.003","https://search.proquest.com/docview/1789765635?accountid=14026","The aim of this study is to quantify drivers’ comfort- and dread-zone boundaries in left-turn-across-path/opposite-direction (LTAP/OD) scenarios. These scenarios account for a large fraction of traffic fatalities world-wide. The comfort zone is a dynamic spatiotemporal envelope surrounding the vehicle, within which drivers feel comfortable and safe. The dread zone, a novel concept, describes a zone with a smaller safety margin that drivers will not voluntarily enter, but can push themselves into when conditions provide additional motivation (e.g., when hurried). Quantifying comfort- and dread-zone boundaries in the context of turning left before or after an oncoming vehicle has the potential to inform and improve both the design and driver acceptance of advanced driver assistance systems (ADAS) and autonomous vehicles. Using a within-subject design, a test-track experiment was conducted with drivers turning an instrumented vehicle left across the path of an oncoming vehicle. The oncoming vehicle was a self-propelled full-sized computer-controlled balloon vehicle going straight at a constant speed (50 km/h). The driver assumed full control of the instrumented vehicle approximately 20 m before the intersection and had to make the decision to turn left before or after the oncoming balloon vehicle. There were two experimental conditions, comfortable driving and hurried driving. Measures for each turn included post-encroachment time (PET), lateral acceleration, and self-reports of comfort and risk. Drivers consistently accepted shorter time gaps and higher lateral accelerations when hurried. We interpret these findings to suggest that drivers invoke two dynamic, contextually-defined safety margins. The first is the comfort-zone boundary, a limit which drivers do not voluntarily cross without  extra motives. The second is the dread-zone boundary, a more distant limit which drivers do not voluntarily cross even with extra motives. Grouping the responses (high/low) to the driver behavior questionnaire (DBQ) improved the ability to predict the dread-zone boundary PET given the comfort-zone boundary PET. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)","2015-11","2020-06-05 21:21:00","2020-06-05 21:21:00","","170-184","","","35","","","","","","","","","","English","","","APA PsycInfo®","1789765635; 2015-52902-015","","","Publisher: Elsevier Science","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Quantifying+drivers%26rsquo%3B+comfort-zone+and+dread-zone+boundaries+in+left+turn+across+path%2Fopposite+direction+%28LTAP%2FOD%29+scenarios&title=Transportation+Research+Part+F%3A+Traffic+Psychology+and+Behaviour&issn=13698478&date=2015-11-01&volume=35&issue=&spage=170&au=B%C3%A4rgman%2C+Jonas%3BSmith%2C+Kip%3BWerneke%2C+Julia&isbn=&jtitle=Transportation+Research+Part+F%3A+Traffic+Psychology+and+Behaviour&btitle=&rft_id=info:eric/2015-52902-015&rft_id=info:doi/10.1016%2Fj.trf.2015.10.003","Female; Male; Motivation; article; Sweden; Human; Empirical Study; Active safety; Adulthood (18 yrs & older); Quantitative Study; 4090:Transportation; ADAS; Comfort zone; Drivers; Driving Behavior; Intersection safety; Left turn; Middle Age (40-64 yrs); Safety margins; Thirties (30-39 yrs); Transportation Safety; Young Adulthood (18-29 yrs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZQDV8JYL","journalArticle","2015","Tabuenca, Bernardo; Kalz, Marco; Drachsler, Hendrik; Specht, Marcus","Time will tell: The role of mobile learning analytics in self-regulated learning","Computers & Education","","0360-1315, 0360-1315","10.1016/j.compedu.2015.08.004","https://search.proquest.com/docview/1792779911?accountid=14026","This longitudinal study explores the effects of tracking and monitoring time devoted to learn with a mobile tool, on self-regulated learning. Graduate students (n = 36) from three different online courses used their own mobile devices to track how much time they devoted to learn over a period of four months. Repeated measures of the Online Self-Regulated Learning Questionnaire and Validity and Reliability of Time Management Questionnaire were taken along the course. Our findings reveal positive effects of tracking time on time management skills. Variations in the channel, content and timing of the mobile notifications to foster reflective practice are investigated, and time-logging patterns are described. These results not only provide evidence of the benefits of recording learning time, but also suggest relevant cues on how mobile notifications should be designed and prompted towards self-regulated learning of students in online courses. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)","2015-11","2020-06-05 21:20:59","2020-06-05 21:20:59","","53-74","","","89","","","","","","","","","","English","","","APA PsycInfo®","1792779911; 2015-49853-006","","","Publisher: Elsevier Science","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Time+will+tell%3A+The+role+of+mobile+learning+analytics+in+self-regulated+learning&title=Computers+%26+Education&issn=03601315&date=2015-11-01&volume=89&issue=&spage=53&au=Tabuenca%2C+Bernardo%3BKalz%2C+Marco%3BDrachsler%2C+Hendrik%3BSpecht%2C+Marcus&isbn=&jtitle=Computers+%26+Education&btitle=&rft_id=info:eric/2015-49853-006&rft_id=info:doi/10.1016%2Fj.compedu.2015.08.004","Internet; Netherlands; article; Time management; Human; Empirical Study; Mobile Devices; Mobile Learning; Time Management; Self-regulated learning; Self-Regulated Learning; Learning analytics; 3530:Curriculum & Programs & Teaching Methods; Adulthood (18 yrs & older); Quantitative Study; Mobile support; Teaching Methods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJKX5S9G","journalArticle","2015","Phillips, Siobhan M.; Awick, Elizabeth A.; Conroy, David E.; Pellegrini, Christine A.; Mailey, Emily L.; McAuley, Edward","Objectively measured physical activity and sedentary behavior and quality of life indicators in survivors of breast cancer","Cancer","","0008-543X, 0008-543X","10.1002/cncr.29620","https://search.proquest.com/docview/1769711448?accountid=14026","Background: The primary purpose of the current study was to determine prospective associations of accelerometer-assessed physical activity intensity and sedentary time with health-related quality of life (HRQOL) indicators among survivors of breast cancer. Methods: A total of 358 survivors of breast cancer wore an accelerometer for 7 days at baseline to assess different activity intensities (light, lifestyle, and moderate to vigorous) and sedentary behavior. Six months later, survivors completed online questionnaires that assessed HRQOL indicators (disease-specific HRQOL, fatigue, depression, and anxiety) and relevant covariates. Relationships between activity and sedentary behavior quartiles and HRQOL indicator scores were examined using generalized liner models with Bonferroni multiple comparison adjustment. Results: After adjustment for covariates and sedentary time, each increasing lifestyle activity quartile was associated with reduced fatigue duration (P for trend, .03). Each increasing baseline moderate-to-vigorous physical activity (MVPA) quartile was found to be significantly associated with higher Physical Well-Being, Functional Assessment of Cancer Therapy-Breast (FACT-B) total, and trial outcome index scores; fewer breast cancer-specific concerns; and lower fatigue interference, and these differences were statistically and clinically significant between survivors in quartile 1 and quartile 4. After controlling for covariates and MVPA, relationships between sedentary time and HRQOL were mostly null with the exception of lower fatigue duration. Conclusions: Objectively measured MVPA was found to be positively associated with many HRQOL indicators. Lifestyle activity was found to be only inversely associated with fatigue duration whereas sedentary time was found to be positively associated with fatigue duration. Future research is warranted to explore these relationships further. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","2015-11-15","2020-06-05 21:20:59","2020-06-05 21:20:59","","4044-4052","","22","121","","","","","","","","","","English","","","APA PsycInfo®","1769711448; 2015-50576-015","","","Publisher: John Wiley & Sons","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Objectively+measured+physical+activity+and+sedentary+behavior+and+quality+of+life+indicators+in+survivors+of+breast+cancer&title=Cancer&issn=0008543X&date=2015-11-15&volume=121&issue=22&spage=4044&au=Phillips%2C+Siobhan+M.%3BAwick%2C+Elizabeth+A.%3BConroy%2C+David+E.%3BPellegrini%2C+Christine+A.%3BMailey%2C+Emily+L.%3BMcAuley%2C+Edward&isbn=&jtitle=Cancer&btitle=&rft_id=info:eric/2015-50576-015&rft_id=info:doi/10.1002%2Fcncr.29620","Female; Humans; Middle Aged; article; physical activity; Aged; Exercise; sedentary time; Human; fatigue; Quality of Life; Empirical Study; depression; anxiety; Survivors; breast cancer survivors; health-related quality of life; Adulthood (18 yrs & older); Quantitative Study; 3293:Cancer; Breast Neoplasms; Longitudinal Study; Major Depression; Prospective Study; Sedentary Lifestyle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZXBJMK4E","journalArticle","2015","Bergström, Annika","Online privacy concerns: A broad approach to understanding the concerns of different groups for different uses","Computers in Human Behavior","","0747-5632, 0747-5632","10.1016/j.chb.2015.07.025","https://search.proquest.com/docview/1724444372?accountid=14026","Questions regarding personal privacy are becoming increasingly relevant, and the discussion continuously arises regarding what digital tracks we leave. Intrusive use and manipulation of personal information not only affect people’s behaviour, but also they could have important implications for political and civic society. Previous research has relied on convenience samples and has often focused on one or only a few areas of use. The presented study, based on a probability sample, gives an overall picture of how privacy concerns are perceived in different online contexts and how socio-demography, internet experience, trust, and political orientation contribute to the understanding of privacy concerns in different settings. The results clearly point to privacy concerns as being very diverse and dependent on the applications in question. All dimensions that are used to explain privacy concerns are partly supported in the study. But their explanatory powers differ and not all areas of concern are affected by the same explanatory factors. Trust in other people is the single most important factor explaining privacy concerns when using digital media and applications. The more people trust others, the less concern they have for misuse of personal information. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","2015-12","2020-06-05 21:20:58","2020-06-05 21:20:58","","419-426","","","53","","","","","","","","","","English","","","APA PsycInfo®","1724444372; 2015-42083-042","","","Publisher: Elsevier Science","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Online+privacy+concerns%3A+A+broad+approach+to+understanding+the+concerns+of+different+groups+for+different+uses&title=Computers+in+Human+Behavior&issn=07475632&date=2015-12-01&volume=53&issue=&spage=419&au=Bergstr%C3%B6m%2C+Annika&isbn=&jtitle=Computers+in+Human+Behavior&btitle=&rft_id=info:eric/2015-42083-042&rft_id=info:doi/10.1016%2Fj.chb.2015.07.025","Female; Male; article; Privacy; Sweden; Human; Online Social Networks; Empirical Study; Adulthood (18 yrs & older); Quantitative Study; Middle Age (40-64 yrs); Thirties (30-39 yrs); Young Adulthood (18-29 yrs); 2700:Communication Systems; Adolescence (13-17 yrs); Aged (65 yrs & older); Misuse of personal information; Online privacy concerns; Political Attitudes; Representative survey; Trust (Social Behavior); Very Old (85 yrs & older)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KZGZRAI","journalArticle","2015","Frerichs, Leah; Sjolie, Sarah; Curtis, Matthew; Peterson, Melissa; Huang, Terry T.-K.","Process and outcomes from a youth-led campaign to address healthy eating in an urban high school","The Journal of Primary Prevention","","0278-095X, 0278-095X","10.1007/s10935-015-0409-0","https://search.proquest.com/docview/1729359541?accountid=14026","This article describes a pilot youth advocacy initiative for obesity prevention informed by social cognitive theory, social network theory, and theories of community mobilization. With assistance from school and health leaders, adolescent-aged youth led a cafeteria food labeling and social marketing campaign. We implemented an anonymous survey 2 weeks prior to and again at the conclusion of the campaign, and used cafeteria records to track servings of fruits and vegetables. The campaign resulted in a significant increase in youths’ confidence to identify healthy foods (OR 1.97, 95 % CI 1.01, 3.84,  p = .048), and a significant increase in per person per day servings of fruits (0.02, p = .03) and vegetables (0.01, p = .02). The results of our pilot were promising, and the integration of concepts from multiple theories benefited the implementation process. Obesity prevention initiatives should include strategies that encourage youth to create health promotion community networks and lead changes to their social and physical environments. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","2015-12","2020-06-05 21:20:58","2020-06-05 21:20:58","","433-438","","6","36","","","","","","","","","","English","","","APA PsycInfo®","1729359541; 2015-49717-001","","","Publisher: Springer","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Process+and+outcomes+from+a+youth-led+campaign+to+address+healthy+eating+in+an+urban+high+school&title=The+Journal+of+Primary+Prevention&issn=0278095X&date=2015-12-01&volume=36&issue=6&spage=433&au=Frerichs%2C+Leah%3BSjolie%2C+Sarah%3BCurtis%2C+Matthew%3BPeterson%2C+Melissa%3BHuang%2C+Terry+T.-K.&isbn=&jtitle=The+Journal+of+Primary+Prevention&btitle=&rft_id=info:eric/2015-49717-001&rft_id=info:doi/10.1007%2Fs10935-015-0409-0","article; Health Promotion; Obesity; Human; Empirical Study; Prevention; Childhood obesity; Community health; Nutrition and diet; Quantitative Study; Adolescence (13-17 yrs); 3365:Promotion & Maintenance of Health & Wellness; Advocacy; High School Students; Urban Environments; US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZEN8SMEU","journalArticle","2015","Wolf, Isabelle D.; Wohlfart, Teresa; Brown, Greg; Lasa, Abraham Bartolomé","The use of public participation GIS (PPGIS) for park visitor management: A case study of mountain biking","Tourism Management","","0261-5177, 0261-5177","10.1016/j.tourman.2015.05.003","https://search.proquest.com/docview/1751224275?accountid=14026","Spatially-explicit participatory planning is a relatively new approach for managing visitors to protected areas. In this study we used public participation geographic information systems (PPGIS) mapping and global positioning system (GPS) tracking to monitor mountain bikers frequenting national parks for tourism and recreation in Northern Sydney, Australia. PPGIS was implemented using both an internet application and with hardcopy maps in the field. Our research addressed two fundamental questions for park planning: (1) What is the spatial distribution of visitor activities and location-specific reasons for riding; and (2) What location-specific actions are needed to improve riding experiences? The spatial distributions of riding activities generated in PPGIS showed strong correlation with the GPS tracking results, with riding locations being related to the reasons for track selection. Riders proposed a broad range of management actions to improve riding experiences. PPGIS mapping provides a cost-effective approach to facilitate spatial decision making, allowing park agencies to prioritise future visitor management actions. We discuss the strengths and limitations of these research methods. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)","2015-12","2020-06-05 21:20:57","2020-06-05 21:20:57","","112-130","","","51","","","","","","","","","","English","","","APA PsycInfo®","1751224275; 2015-49377-016","","","Publisher: Elsevier Science","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=The+use+of+public+participation+GIS+%28PPGIS%29+for+park+visitor+management%3A+A+case+study+of+mountain+biking&title=Tourism+Management&issn=02615177&date=2015-12-01&volume=51&issue=&spage=112&au=Wolf%2C+Isabelle+D.%3BWohlfart%2C+Teresa%3BBrown%2C+Greg%3BLasa%2C+Abraham+Bartolom%C3%A9&isbn=&jtitle=Tourism+Management&btitle=&rft_id=info:eric/2015-49377-016&rft_id=info:doi/10.1016%2Fj.tourman.2015.05.003","Female; Male; Management; article; GIS; Australia; Decision Making; Exercise; Human; Public Opinion; Adulthood (18 yrs & older); Middle Age (40-64 yrs); Thirties (30-39 yrs); Young Adulthood (18-29 yrs); Adolescence (13-17 yrs); Aged (65 yrs & older); 3740:Recreation & Leisure; Environmental Planning; Mountain biking; Nonclinical Case Study; Protected areas; Public participation; Spatial distributions; Tourism; Visitor activity management","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LXPZPBQ","journalArticle","2015","Zerubavel, Noam; Bearman, Peter S.; Weber, Jochen; Ochsner, Kevin N.","Neural mechanisms tracking popularity in real-world social networks","PNAS Proceedings of the National Academy of Sciences of the United States of America","","0027-8424, 0027-8424","10.1073/pnas.1511477112","https://search.proquest.com/docview/1799003814?accountid=14026","Differences in popularity are a key aspect of status in virtually all human groups and shape social interactions within them. Little is known, however, about how we track and neurally represent others’ popularity. We addressed this question in two real-world social networks using sociometric methods to quantify popularity. Each group member (perceiver) viewed faces of every other group member (target) while whole-brain functional MRI data were collected. Independent functional localizer tasks were used to identify brain systems supporting affective valuation (ventromedial prefrontal cortex, ventral striatum, amygdala) and social cognition (dorsomedial prefrontal cortex, precuneus, temporoparietal junction), respectively. During the face-viewing task, activity in both types of neural systems tracked targets’ sociometric popularity, even when controlling for potential confounds. The target popularity– social cognition system relationship was mediated by valuation system activity, suggesting that observing popular individuals elicits value signals that facilitate understanding their mental states. The target popularity–valuation system relationship was strongest for popular perceivers, suggesting enhanced sensitivity to differences among other group members’ popularity. Popular group members also demonstrated greater interpersonal sensitivity by more accurately predicting how their own personalities were perceived by other individuals in the social network. These data offer insights into the mechanisms by which status guides social behavior (PsycINFO Database Record (c) 2017 APA, all rights reserved) (Source: journal abstract)","2015-12-08","2020-06-05 21:20:57","2020-06-05 21:20:57","","15072-15077","","49","112","","","","","","","","","","English","","","APA PsycInfo®","1799003814; 2016-21995-002","","","Publisher: National Academy of Sciences","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=Neural+mechanisms+tracking+popularity+in+real-world+social+networks&title=PNAS+Proceedings+of+the+National+Academy+of+Sciences+of+the+United+States+of+America&issn=00278424&date=2015-12-08&volume=112&issue=49&spage=15072&au=Zerubavel%2C+Noam%3BBearman%2C+Peter+S.%3BWeber%2C+Jochen%3BOchsner%2C+Kevin+N.&isbn=&jtitle=PNAS+Proceedings+of+the+National+Academy+of+Sciences+of+the+United+States+of+America&btitle=&rft_id=info:eric/2016-21995-002&rft_id=info:doi/10.1073%2Fpnas.1511477112","Adult; Female; Humans; Male; Cognition; article; Social Networks; social network; social cognition; Social Networking; Interpersonal Relations; social status; Human; Social Behavior; fMRI; Empirical Study; popularity; Social Perception; Adulthood (18 yrs & older); Quantitative Study; Mathematical Model; US; 2520:Neuropsychology & Neurology; Biological Neural Networks; Brain; Brain Imaging; Functional Magnetic Resonance Imaging; Social Cognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62YUID69","journalArticle","2015","Lyons, Bayard E.; Austin, Daniel; Seelye, Adriana; Petersen, Johanna; Yeargers, Jonathan; Riley, Thomas; Sharma, Nicole; Mattek, Nora; Wild, Katherine; Dodge, Hiroko; Kaye, Jeffrey A.","""Pervasive computing technologies to continuously assess Alzheimer's disease progression and intervention efficacy"": Corrigendum","Frontiers in Aging Neuroscience","","","","https://search.proquest.com/docview/1977988637?accountid=14026","Reports an error in ""Pervasive computing technologies to continuously assess Alzheimer’s disease progression and intervention efficacy"" by Bayard E. Lyons, Daniel Austin, Adriana Seelye, Johanna Petersen, Jonathan Yeargers, Thomas Riley, Nicole Sharma, Nora Mattek, Katherine Wild, Hiroko Dodge and Jeffrey A. Kaye ( Frontiers in Aging Neuroscience, 2015[Jun][10], Vol 7[102]). In the original article there are some errors. The correction was present in the erratum. (The following abstract of the original article appeared in record 2015-31678-001). Traditionally, assessment of functional and cognitive status of individuals with dementia occurs in brief clinic visits during which time clinicians extract a snapshot of recent changes in individuals’ health. Conventionally, this is done using various clinical assessment tools applied at the point of care and relies on patients’ and caregivers’ ability to accurately recall daily activity and trends in personal health. These practices suffer from the infrequency and generally short durations of visits. Since 2004, researchers at the Oregon Center for Aging and Technology (ORCATECH) at the Oregon Health and Science University have been working on developing technologies to transform this model. ORCATECH researchers have developed a system of continuous in-home monitoring using pervasive computing technologies that make it possible to more accurately track activities and behaviors and measure relevant intra-individual changes. We have installed a system of strategically placed sensors in over 480 homes and have been collecting data for up to 8 years. Using this continuous in-home monitoring system, ORCATECH researchers have collected data on multiple behaviors such as gait and mobility, sleep and activity patterns, medication adherence, and computer use. Patterns of intra-individual variation detected in each of these areas are used to predict outcomes such as low mood, loneliness, and cognitive function. These methods have the potential to improve the quality of patient health data and in turn patient care especially related to cognitive decline. Furthermore, the continuous real-world nature of the data may improve the efficiency and ecological validity of clinical intervention studies. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","2015-12-11","2020-06-05 21:20:56","2020-06-05 21:20:56","","1","","","7","","","","","","","","","","English","","","APA PsycInfo®","1977988637; 2017-00564-001","","","Publisher: Frontiers Media S.A. Frontiers Research Foundation","","","http://library.stanford.edu/sfx?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:journal&genre=article&sid=ProQ:ProQ%3Apsycinfo&atitle=%26quot%3BPervasive+computing+technologies+to+continuously+assess+Alzheimer%27s+disease+progression+and+intervention+efficacy%26quot%3B%3A+Corrigendum&title=Frontiers+in+Aging+Neuroscience&issn=1663-4365&date=2015-12-11&volume=7&issue=&spage=&au=Lyons%2C+Bayard+E.%3BAustin%2C+Daniel%3BSeelye%2C+Adriana%3BPetersen%2C+Johanna%3BYeargers%2C+Jonathan%3BRiley%2C+Thomas%3BSharma%2C+Nicole%3BMattek%2C+Nora%3BWild%2C+Katherine%3BDodge%2C+Hiroko%3BKaye%2C+Jeffrey+A.&isbn=&jtitle=Frontiers+in+Aging+Neuroscience&btitle=&rft_id=info:eric/2017-00564-001&rft_id=info:doi/","Intervention; Technology; article; smart home; sleep; medication adherence; gait; dementia; aging in place; Disease Progression; 3300:Health & Mental Health Treatment & Prevention; Clinicians; Disease Course; in-home monitoring; Student Attitudes; technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
